content,people_nums,rating_nums,title
2022-05-21(戛纳电影节) / 哈里斯·迪金森 / 查尔比·迪恩·科里克 / 伍迪·哈里森 / 扎特科·巴瑞克 / 汉娜·奥尔登堡 / 多莉·德莱昂 / 卡罗琳娜·金宁 / 松妮·梅勒斯 / 奥利弗·福德·戴维斯 / 薇琪·柏林 / 伊赫斯·贝尔本 / 阿文·卡纳尼安...,(17503人评价),7.5,"
                        悲情三角
                        / ,
                    ,无限悲情 / 疯狂富作用(台)"
2022-11-25(美国网络) / 克里斯·帕拉特 / 庞·克莱门捷夫 / 戴夫·巴蒂斯塔 / 凯文·贝肯 / 迈克尔·鲁克 / 布莱德利·库珀 / 范·迪塞尔 / 凯伦·吉兰 / 肖恩·古恩 / 卢克·克莱因 / 玛丽亚·巴卡洛娃 / Rhett Miller / 凯拉·塞吉维克 / 陈思 / 托马斯·麦克纳马拉...,(14205人评价),7.8,"
                        银河护卫队：圣诞特别篇
                        / ,
                    ,银河护卫队：假日特别篇 / 银河守护队：假日特别版(港)"
2022-10-19(法国) / 2022-10-21(美国) / 道恩·强森 / 阿尔迪斯·霍吉 / 皮尔斯·布鲁斯南 / 诺亚·琴蒂内奥 / 莎拉·夏希 / 昆泰莎·斯文戴尔 / 马尔万·肯扎里 / 博德希·萨邦圭 / 穆罕默德·阿米尔 / 詹姆斯·卡萨蒂-莫耶尔 / 哈隆·克里斯蒂安...,(45291人评价),5.7,"
                        黑亚当
                        / ,
                    ,霹雳亚当 / 黑亞當(港/台)"
2022-01-20(圣丹斯电影节) / 米兰达·裘丽 / 卡提亚·克拉夫特 / 莫里斯·克拉夫特 / 加拿大 / 美国 / 萨拉·多萨 / 98分钟 / 火山挚恋 / 纪录片 / 沙恩·鲍里斯 Shane Boris / 艾琳·卡斯帕 Erin Casper / 乔瑟琳·查普特 Jocelyne Chaput / 萨拉·多萨 Sara...,(18446人评价),9.0,"
                        火山挚恋
                        / ,
                    ,火山之恋 / 爱蹈火"
2022-05-23(戛纳电影节) / 2022-06-29(韩国) / 汤唯 / 朴海日 / 李贞贤 / 朴勇宇 / 高庚杓 / 金信英 / 郑永琡 / 刘承睦 / 朴正民 / 徐现宇 / 郑伊书 / 李学周 / 郑素利 / 黄载沅 / 刘台午 / 崔代勋 / 高旻示 / 郑荷昙 / 陈庸旭 / 朱仁英 / 权爀 / 韩国...,(210497人评价),7.6,"
                        分手的决心
                        / ,
                    ,报复式分手 / Decision to Leave"
2022-05-26(戛纳电影节) / 2022-11-01(法国) / 伊登·丹布林 / 古斯塔夫·德·瓦埃勒 / 艾米莉·德奎恩 / 蕾雅·德吕盖 / 凯文·让森斯 / 艾戈尔·范·德赛尔 / 马克·韦斯 / 莱昂·巴塔耶尔 / 比利时 / 荷兰 / 法国 / 卢卡斯·德霍特 / 105分钟 / 亲密...,(6542人评价),8.1,"
                        亲密
                        / ,
                    ,透明人 / The Invisible"
2022-09-12(多伦多电影节) / 2022-09-29(德国) / 2022-10-28(德国网络) / 费利克斯·卡默雷尔 / 阿尔布雷希特·舒赫 / 亚伦·希尔默 / 丹尼尔·布鲁赫 / 塞巴斯蒂安·胡克 / 莫里茨·克劳斯 / 阿德里安·格鲁内瓦尔德 / 埃丁·哈萨诺维奇 / 蒂博·德·蒙塔朗贝尔...,(78339人评价),8.5,"
                        西线无战事
                        / ,
                    ,新西线无战事 / All Quiet on the Western Front"
2022-10-26(韩国) / 李星民 / 南柱赫 / 金雨珍 / 韩国 / 李日炯 / 128分钟 / 我记得 / 动作 / 悬疑 / 惊悚 / 李日炯 Yil-hyeong Lee / 韩语,(3084人评价),7.4,"
                        我记得
                        / ,
                    ,厄忆追凶(台) / 记忆。复仇(港)"
2022-09-01(威尼斯电影节) / 2022-10-07(美国) / 凯特·布兰切特 / 诺米·梅兰特 / 尼娜·霍斯 / 马克·斯特朗 / 苏菲·考尔 / 朱利安·格洛弗 / 阿兰·柯德勒 / 西尔维娅·弗洛特 / 亚当·戈普尼克 / 米拉·博戈耶维奇 / 泽斯潘·D·史密斯-格尼斯特...,(5362人评价),7.5,"
                        塔尔
                    "
2022-11-18(美国网络) / 杰森·莫玛 / 玛洛·巴克利 / 凯尔·钱德勒 / 克里斯·奥多德 / 茵地亚·德·比尤福特 / 亨伯利·冈萨雷斯 / 托尼娅·科妮斯 / 韦鲁切·欧皮亚 / 凯特琳娜·塔克西亚 / 迈克尔·布莱克 / 杰米拉·罗斯 / 张振熙 / 美国...,(3392人评价),7.5,"
                        梦乡
                        / ,
                    ,秘语梦境(台) / 梦际历险记(港)"
